data,attualmente_positivi,ricoverati,nuovi_positivi
2021-02-16,,0.0,
2021-02-17,,1.0,
2021-02-18,,1.0,
2021-02-19,,1.0,
2021-02-20,,1.0,
2021-02-21,,1.0,
2021-02-22,,1.0,
2021-02-23,,1.0,
2021-02-24,,1.0,
2021-02-25,,1.0,
2021-02-26,,1.0,
2021-02-27,,1.0,
2021-02-28,,1.0,
2021-03-01,,2.0,
2021-03-02,,3.0,
2021-03-03,,3.0,
2021-03-04,,3.0,
2021-03-05,,4.0,
2021-03-06,,4.0,
2021-03-07,,4.0,
2021-03-08,,5.0,
2021-03-09,214.0,5.0,0.0
2021-03-10,,5.0,
2021-03-11,,5.0,
2021-03-12,,5.0,
2021-03-13,,8.0,
2021-03-14,,8.0,
2021-03-15,,8.0,
2021-03-16,,9.0,
2021-03-17,,9.0,
2021-03-18,223.0,9.0,15.0
2021-03-19,,16.0,
2021-03-20,,16.0,
2021-03-21,,16.0,
2021-03-22,226.0,16.0,7.0
2021-03-23,,14.0,
2021-03-24,211.0,14.0,5.0
2021-03-25,,14.0,
2021-03-26,,14.0,
2021-03-27,,14.0,
2021-03-28,,14.0,
2021-03-29,207.0,14.0,2.0
2021-03-30,204.0,16.0,7.0
2021-04-01,171.0,15.0,1.0
2021-04-02,,11.0,
2021-04-03,,11.0,
2021-04-04,,11.0,
2021-04-05,,11.0,
2021-04-06,145.0,11.0,1.0
2021-04-07,,10.0,
2021-04-08,,10.0,
2021-04-09,144.0,10.0,2.0
2021-04-10,,10.0,
2021-04-11,,11.0,
2021-04-12,110.0,11.0,3.0
2021-04-13,,9.0,
2021-04-14,104.0,9.0,2.0
2021-04-15,,6.0,
2021-04-16,,8.0,
2021-04-17,,8.0,
2021-04-18,,8.0,
2021-04-19,,8.0,
2021-04-20,138.0,8.0,16.0
2021-04-21,,8.0,
2021-04-22,147.0,8.0,4.0
2021-04-23,,10.0,
2021-04-24,,10.0,
2021-04-25,,10.0,
2021-04-26,,10.0,
2021-04-27,,10.0,
2021-04-28,140.0,10.0,1.0
2021-04-29,,8.0,
2021-04-30,129.0,8.0,0.0
2021-05-01,,7.0,
2021-05-02,,7.0,
2021-05-03,,7.0,
2021-05-04,92.0,7.0,9.0
2021-05-05,,4.0,
2021-05-06,,4.0,
2021-05-07,,4.0,
2021-05-08,,4.0,
2021-05-09,,4.0,
2021-05-10,,4.0,
2021-05-11,,4.0,
2021-05-12,76.0,4.0,0.0
2021-05-13,,0.0,
2021-05-14,,0.0,
2021-05-15,,0.0,
2021-05-16,,0.0,
2021-05-17,,0.0,
2021-05-18,,0.0,
2021-05-19,,0.0,
2021-05-20,,0.0,
2021-05-21,,0.0,
2021-05-22,,0.0,
2021-05-23,,0.0,
2021-05-24,14.0,0.0,0.0
2021-05-25,,,
2021-05-26,,,
2021-05-27,,,
2021-05-28,,,
2021-05-29,,,
2021-05-30,,,
2021-05-31,,,
2021-06-01,,,
2021-06-02,,,
2021-06-03,,,
2021-06-04,,,
2021-06-05,,,
2021-06-06,,,
2021-06-07,,,
2021-06-08,,,
2021-06-09,,0.0,
2021-06-10,,0.0,
2021-06-11,,0.0,
2021-06-12,,0.0,
2021-06-13,,0.0,
2021-06-14,,0.0,
2021-06-15,,0.0,
2021-06-16,,0.0,
2021-06-17,,0.0,
2021-06-18,,0.0,
2021-06-19,,0.0,
2021-06-20,,0.0,
2021-06-21,,0.0,
2021-06-22,,0.0,
2021-06-23,,0.0,
2021-06-24,,0.0,
2021-06-25,,0.0,
2021-06-26,,0.0,
2021-06-27,,0.0,
2021-06-28,,0.0,
2021-06-29,,0.0,
2021-06-30,,0.0,
2021-07-01,,0.0,
2021-07-02,,0.0,
2021-07-03,,0.0,
2021-07-04,,0.0,
2021-07-05,,0.0,
2021-07-06,,0.0,
2021-07-07,,0.0,
2021-07-08,17.0,0.0,5.0
2021-07-09,,0.0,
2021-07-10,,0.0,
2021-07-11,,0.0,
2021-07-12,,0.0,
2021-07-13,,0.0,
2021-07-14,,0.0,
2021-07-15,,0.0,
2021-07-16,25.0,0.0,2.0
2021-07-17,,0.0,
2021-07-18,,0.0,
2021-07-19,,0.0,
2021-07-20,,0.0,
2021-07-21,,0.0,
2021-07-22,,0.0,
2021-07-23,,0.0,
2021-07-24,,0.0,
2021-07-25,,0.0,
2021-07-26,,0.0,
2021-07-27,,0.0,
2021-07-28,,0.0,
2021-07-29,,1.0,
2021-07-30,,2.0,
2021-07-31,,3.0,
2021-08-01,,3.0,
2021-08-02,,3.0,
2021-08-03,,3.0,
2021-08-04,,3.0,
2021-08-05,,3.0,
2021-08-06,23.0,3.0,0.0
2021-08-07,,2.0,
2021-08-08,,2.0,
2021-08-09,,2.0,
2021-08-10,,2.0,
2021-08-11,,3.0,
2021-08-12,,3.0,
2021-08-13,,3.0,
2021-08-14,,3.0,
2021-08-15,,3.0,
2021-08-16,,3.0,
2021-08-17,,3.0,
2021-08-18,72.0,3.0,4.0
2021-08-19,,,
2021-08-20,,,
2021-08-21,,,
2021-08-22,,,
2021-08-23,,,
2021-08-24,,,
2021-08-25,,,
2021-08-26,,,
2021-08-27,,,
2021-08-28,,,
2021-08-29,,,
2021-08-30,,,
2021-08-31,,,
2021-09-01,,,
2021-09-02,,,
2021-09-03,,,
2021-09-04,,,
2021-09-05,,,
2021-09-06,,,
2021-09-07,,,
2021-09-08,,,
2021-09-09,,,
2021-09-10,,,
2021-09-11,,0.0,
2021-09-12,,0.0,
2021-09-13,,0.0,
2021-09-14,,0.0,
2021-09-15,,0.0,
2021-09-16,,0.0,
2021-09-17,,0.0,
2021-09-18,,0.0,
2021-09-19,,0.0,
2021-09-20,,0.0,
2021-09-21,,0.0,
2021-09-22,,0.0,
2021-09-23,,0.0,
2021-09-24,,0.0,
2021-09-25,,0.0,
2021-09-26,,0.0,
2021-09-27,,0.0,
2021-09-28,,0.0,
2021-09-29,,0.0,
2021-09-30,,0.0,
2021-10-01,,0.0,
2021-10-02,,0.0,
2021-10-03,,0.0,
2021-10-04,,0.0,
2021-10-05,,0.0,
2021-10-06,,0.0,
2021-10-07,,0.0,
2021-10-08,,0.0,
2021-10-09,,0.0,
2021-10-10,,0.0,
2021-10-11,15.0,0.0,
2021-10-12,,,
2021-10-13,,,
2021-10-14,,,
2021-10-15,,,
2021-10-16,,,
2021-10-17,,,
2021-10-18,,,
2021-10-19,,,
2021-10-20,,,
2021-10-21,,,
2021-10-22,,,
2021-10-23,,,
2021-10-24,,,
2021-10-25,,,
2021-10-26,,,
2021-10-27,,,
2021-10-28,,,
2021-10-29,,,
2021-10-30,,,
2021-10-31,,,
2021-11-01,,,
2021-11-02,,,
2021-11-03,,,
2021-11-04,66.0,0.0,6.0
2021-11-05,,,
2021-11-06,92.0,1.0,6.0
2021-11-07,,,
2021-11-08,,,
2021-11-09,,,
2021-11-10,108.0,0.0,7.0
2021-11-11,112.0,0.0,5.0
2021-11-12,114.0,0.0,11.0
2021-11-13,122.0,0.0,11.0
2021-11-14,125.0,0.0,4.0
2021-11-15,122.0,1.0,1.0
2021-11-16,127.0,1.0,8.0
2021-11-17,131.0,1.0,6.0
2021-11-18,137.0,3.0,13.0
2021-11-19,133.0,1.0,9.0
2021-11-20,,,
2021-11-21,142.0,1.0,9.0
2021-11-22,140.0,0.0,2.0
2021-11-23,133.0,0.0,1.0
2021-11-24,135.0,1.0,14.0
2021-11-25,,,
2021-11-26,,,
2021-11-27,,,
2021-11-28,144.0,0.0,5.0
2021-11-29,,,
2021-11-30,145.0,0.0,6.0
2021-12-01,,,
2021-12-02,,,
2021-12-03,133.0,0.0,7.0
2021-12-04,,,
2021-12-05,,,
2021-12-06,,,
2021-12-07,,,
2021-12-08,140.0,0.0,16.0
2021-12-09,,,
2021-12-10,,,
2021-12-11,,,
2021-12-12,,,
2021-12-13,,,
2021-12-14,134.0,0.0,10.0
2021-12-15,,,
2021-12-16,140.0,0.0,22.0
2021-12-17,151.0,0.0,24.0
2021-12-18,156.0,0.0,16.0
2021-12-19,,,
2021-12-20,166.0,2.0,9.0
2021-12-21,187.0,2.0,34.0
2021-12-22,186.0,2.0,42.0
2021-12-23,197.0,1.0,17.0
2021-12-24,232.0,1.0,37.0
2021-12-25,236.0,1.0,40.0
2021-12-26,236.0,1.0,1.0
2021-12-27,236.0,0.0,2.0
2021-12-28,251.0,0.0,16.0
2021-12-29,303.0,1.0,68.0
2021-12-30,342.0,2.0,55.0
2021-12-31,487.0,2.0,119.0
2022-01-01,566.0,2.0,94.0
2022-01-02,632.0,2.0,50.0
2022-01-03,632.0,2.0,8.0
2022-01-04,735.0,3.0,105.0
2022-01-05,839.0,7.0,104.0
2022-01-06,937.0,7.0,114.0
2022-01-07,932.0,6.0,13.0
2022-01-08,1081.0,6.0,162.0
2022-01-09,,,
2022-01-10,1222.0,8.0,32.0
2022-01-11,1311.0,10.0,114.0
2022-01-12,1403.0,7.0,103.0
2022-01-13,1483.0,9.0,105.0
2022-01-14,1547.0,10.0,87.0
2022-01-15,,,
2022-01-16,1674.0,13.0,68.0
2022-01-17,1701.0,12.0,31.0
2022-01-18,,,
2022-01-19,1162.0,9.0,93.0
2022-01-20,,,
2022-01-21,1261.0,9.0,11.0
2022-01-22,1461.0,7.0,129.0
2022-01-23,1481.0,9.0,64.0
2022-01-24,1560.0,7.0,84.0
2022-01-25,1585.0,8.0,95.0
2022-01-26,1657.0,7.0,83.0
2022-01-27,,,
2022-01-28,1741.0,7.0,82.0
2022-01-29,1791.0,8.0,78.0
2022-01-30,1825.0,8.0,67.0
2022-01-31,1856.0,8.0,0.0
2022-02-01,1895.0,9.0,60.0
2022-02-02,,,
2022-02-03,1981.0,7.0,54.0
2022-02-04,1462.0,6.0,4.0
2022-02-05,1502.0,5.0,10.0
2022-02-06,,,
2022-02-07,,,
2022-02-08,839.0,5.0,18.0
2022-02-09,,,
2022-02-10,904.0,5.0,33.0
2022-02-11,,,
2022-02-12,632.0,5.0,44.0
2022-02-13,,,
2022-02-14,,,
2022-02-15,692.0,4.0,1.0
2022-02-16,778.0,4.0,47.0
2022-02-17,,,
2022-02-18,875.0,6.0,39.0
2022-02-19,,,
2022-02-20,,,
2022-02-21,678.0,5.0,9.0
2022-02-22,706.0,5.0,4.0
2022-02-23,,,
2022-02-24,618.0,4.0,25.0
2022-02-25,,,
2022-02-26,,,
2022-02-27,,,
2022-02-28,,,
2022-03-01,,,
2022-03-02,480.0,4.0,21.0
2022-03-03,,,
2022-03-04,,,
2022-03-05,542.0,4.0,32.0
2022-03-06,,,
2022-03-07,,,
2022-03-08,,,
2022-03-09,,,
2022-03-10,451.0,4.0,33.0
2022-03-11,,,
2022-03-12,,,
2022-03-13,,,
2022-03-14,,,
2022-03-15,,,
2022-03-16,548.0,2.0,52.0
